player_display_name,position,n_games,mu,sigma,wpa,war
David Njoku,TE,13,9.83077,6.5453906,0.03571473887539589,0.4642916053801466
Tua Tagovailoa,QB,13,17.763079,8.92331,0.03520911489035683,0.4577184935746388
Kirk Cousins,QB,16,17.411251,7.3469315,0.028379260496256054,0.45406816794009686
Dalton Schultz,TE,14,9.67143,7.343746,0.030185117293632158,0.4225916421108502
Darren Waller,TE,7,11.328572,4.43,0.05936403074260488,0.41554821519823415
Cordarrelle Patterson,RB,12,12.066666,6.946022,0.03385484167301822,0.40625810007621865
Devin Singletary,RB,15,11.713334,5.5683475,0.025801290448563607,0.3870193567284541
Tyler Higbee,TE,15,9.646667,7.58471,0.024833835426278594,0.3725075313941789
Deebo Samuel,WR,12,13.666667,4.962582,0.029814937899617755,0.35777925479541306
Jared Goff,QB,16,17.17875,8.242077,0.021840615753771386,0.3494498520603422
Michael Thomas,WR,3,17.033333,5.3274975,0.10421961208554387,0.3126588362566316
Chris Olave,WR,14,13.085714,4.9274535,0.02138128826787722,0.29933803575028106
Jakobi Meyers,WR,13,13.238461,5.8453846,0.021306332833641695,0.27698232683734203
Dak Prescott,QB,11,17.261818,6.188032,0.02512080939402983,0.27632890333432814
Zay Jones,WR,15,12.8,9.591247,0.01795820814896576,0.2693731222344864
Taysom Hill,TE,15,9.486667,8.052268,0.017592209341014464,0.26388314011521696
Jerry Jeudy,WR,14,12.85,8.285422,0.013396761169200966,0.18755465636881352
Latavius Murray,RB,12,11.283333,4.2486925,0.01533717968456616,0.18404615621479392
Garrett Wilson,WR,16,12.362499,8.46189,0.010331022682164459,0.16529636291463135
Justin Herbert,QB,16,16.4025,6.1009793,0.0073332223828298515,0.11733155812527762
Antonio Gibson,RB,15,11.059999,4.9316397,0.007657234064836427,0.1148585109725464
D.J. Moore,WR,16,12.31875,8.074979,0.006904144067899742,0.11046630508639588
Gerald Everett,TE,14,9.264287,4.1594315,0.00753235971192745,0.1054530359669843
Juwan Johnson,TE,15,8.78,6.8097186,0.006341348134776381,0.09512022202164572
Sam Darnold,QB,5,17.08,4.171503,0.01818181532323815,0.09090907661619074
Dawson Knox,TE,14,9.028571,5.5556183,0.004736431850599354,0.06631004590839096
Tom Brady,QB,16,16.51875,6.7658277,0.0019090020120346995,0.030544032192555193
Rashaad Penny,RB,5,10.440001,9.468179,0.005176787866206234,0.02588393933103117
Raheem Mostert,RB,15,10.679999,6.9383183,0.000649382455991665,0.009740736839874975
Greg Dulcich,TE,10,8.61,4.686886,-0.0005918965288599365,-0.005918965288599365
Javonte Williams,RB,4,10.5,5.8305225,-0.0027612490787224386,-0.011044996314889755
Cole Kmet,TE,16,8.224999,6.4210105,-0.0008040497942801705,-0.012864796708482729
JuJu Smith-Schuster,WR,15,11.986667,7.179774,-0.0011047394744229666,-0.0165710921163445
Mecole Hardman,WR,8,11.725,8.44434,-0.004633683907054265,-0.03706947125643412
J.K. Dobbins,RB,8,10.15,6.7681236,-0.004644750019397903,-0.037158000155183224
